street,lat1,lng1,lat2,lng2,distance
E 132nd St,41.655533863144164,-87.54837924617465,41.65553188116756,-87.54714394061145,0.10266134521837163
S Carondolet Ave,41.65553576399277,-87.54956472507457,41.6536863397053,-87.5495742624185,0.205712682072414
E 132nd St,41.65553576399277,-87.54956472507457,41.655533863144164,-87.54837924617465,0.09852044563083165
S Commercial Ave,41.655537741461444,-87.55079737169962,41.65368131252802,-87.5508053846811,0.20649135449076148
E 132nd St,41.655537741461444,-87.55079737169962,41.65553576399277,-87.54956472507457,0.10244036518490741
S Exchange Ave,41.65553967975049,-87.55200553722966,41.65367639042253,-87.55201072438213,0.20725380954141331
E 132nd St,41.65553967975049,-87.55200553722966,41.655537741461444,-87.55079737169962,0.10040583558528526
S Escanaba Ave,41.65554161452149,-87.55321160674924,41.65419978223099,-87.55322123193876,0.1492539254656535
E 132nd St,41.65554161452149,-87.55321160674924,41.65553967975049,-87.55200553722966,0.10023164143453568
S Muskegon Ave,41.655543571003165,-87.55443125078051,41.655157045228655,-87.55443204930584,0.042993248654617455
E 132nd St,41.655543571003165,-87.55443125078051,41.65554161452149,-87.55321160674924,0.10135976203950588
E 132nd St,41.65554225931827,-87.53808332567866,41.65555107239762,-87.53748407397646,0.04981095324373785
E 132nd St,41.65555107239762,-87.53748407397646,41.65555107246636,-87.53692007329163,0.04687173835504193
S Brainard Ave,41.656108322402126,-87.5556352967624,41.655157045228655,-87.55443204930584,0.14558567432869787
S Mackinaw Ave,41.65702406826385,-87.54236082560983,41.65550977777815,-87.5423383081582,0.1684446730257179
S Brainard Ave,41.657079142522534,-87.55686326399595,41.656108322402126,-87.5556352967624,0.1485755480399873
S Green Bay Ave,41.655504108177105,-87.54110528287244,41.65729457077205,-87.5410928775121,0.19915552423856184
E 131st St,41.65729457077205,-87.5410928775121,41.65729791452628,-87.53989331929364,0.09968825976844216
S Ave O,41.65549853382687,-87.53989331916716,41.65729791452628,-87.53989331929364,0.20014481511165697
E 131st St,41.65729791452628,-87.53989331929364,41.65730125486387,-87.5386948175497,0.09960045699307789
S Ave N,41.65730125486387,-87.5386948175497,41.65593001055402,-87.53868257675606,0.1525266682200996
E 131st St,41.65730125486387,-87.5386948175497,41.657304604542304,-87.53749296837492,0.09987863717236405
S Ave M,41.65555107239762,-87.53748407397646,41.657304604542304,-87.53749296837492,0.19504648862709764
E 131st St,41.657304604542304,-87.53749296837492,41.65730606864712,-87.53696756319884,0.043663341426211436
S Buffalo Ave,41.65551519333861,-87.54351545467833,41.65731895957593,-87.54351330618076,0.2006326972119367
E 131st St,41.65731895957593,-87.54351330618076,41.6573060684201,-87.54280732582576,0.05868698983207255
E 131st St,41.6573060684201,-87.54280732582576,41.65722381831179,-87.54250182487219,0.026986299571036636
E 131st St,41.65722381831179,-87.54250182487219,41.65702406826385,-87.54236082560983,0.025118685261559276
S Brandon Ave,41.655526223865785,-87.54591398998082,41.657330900434566,-87.54590840842174,0.20073440971187148
E 131st St,41.657330900434566,-87.54590840842174,41.657329568941215,-87.54545108161436,0.03800575717179588
S Baltimore Ave,41.65553188116756,-87.54714394061145,41.65733447012433,-87.5471345757037,0.2005031795001042
E 131st St,41.65733447012433,-87.5471345757037,41.657330900434566,-87.54590840842174,0.10189958995114555
S Houston Ave,41.655533863144164,-87.54837924617465,41.65673031739007,-87.54837683902548,0.1330815565924563
S Houston Ave,41.65673031739007,-87.54837683902548,41.657338083213666,-87.54837507764279,0.06760184967668753
E 131st St,41.657338083213666,-87.54837507764279,41.65733447012433,-87.5471345757037,0.10309085442428963
S Burley Ave,41.655520802543386,-87.54473530994265,41.65617806633744,-87.54473432977164,0.07310738758075938
S Burley Ave,41.65617806633744,-87.54473432977164,41.65734134786889,-87.54473941032639,0.12939229960356982
E 131st St,41.65734134786889,-87.54473941032639,41.65731895957593,-87.54351330618076,0.10192399939207863
S Carondolet Ave,41.657341519350965,-87.54955541449803,41.65553576399277,-87.54956472507457,0.200855357708989
E 131st St,41.657341519350965,-87.54955541449803,41.657338083213666,-87.54837507764279,0.09809088039353107
S Exchange Ave,41.65735298341648,-87.5520004885006,41.65553967975049,-87.55200553722966,0.20169390077056173
S Escanaba Ave,41.6573556979975,-87.55319859493723,41.65554161452149,-87.55321160674924,0.20178309994300744
E 131st St,41.6573556979975,-87.55319859493723,41.65735298341648,-87.5520004885006,0.0995672857236723
S Muskegon Ave,41.65735848183581,-87.55442749694669,41.655543571003165,-87.55443125078051,0.2018724702840346
E 131st St,41.65735848183581,-87.55442749694669,41.6573556979975,-87.55319859493723,0.10212651257820642
S Manistee Ave,41.65736121935893,-87.5556357939792,41.656108322402126,-87.5556352967624,0.13935952568558893
